2024-02-01 16:02:684 INFO  HomePage :60 - Clicking on header Poker : [[[ChromeDriver: chrome on windows (63a1058f0750b99cb1afba6e458deb20)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (63a1058f0750b99cb1afba6e458deb20)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (63a1058f0750b99cb1afba6e458deb20)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (63a1058f0750b99cb1afba6e458deb20)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (63a1058f0750b99cb1afba6e458deb20)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (63a1058f0750b99cb1afba6e458deb20)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (63a1058f0750b99cb1afba6e458deb20)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (63a1058f0750b99cb1afba6e458deb20)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (63a1058f0750b99cb1afba6e458deb20)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 16:02:690 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:01 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:125 INFO  HomePage :53 - Clicking accept cookies: [[ChromeDriver: chrome on windows (986b5a5e68e52acfb8310f198f546570)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:165 INFO  HomePage :67 - Verifying Virgin Games Logo : [[ChromeDriver: chrome on windows (986b5a5e68e52acfb8310f198f546570)] -> xpath: //img[@alt='Virgin Games']]
2024-02-01 16:02:773 INFO  HomePage :60 - Clicking on header All Games : [[[ChromeDriver: chrome on windows (986b5a5e68e52acfb8310f198f546570)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (986b5a5e68e52acfb8310f198f546570)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (986b5a5e68e52acfb8310f198f546570)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (986b5a5e68e52acfb8310f198f546570)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (986b5a5e68e52acfb8310f198f546570)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (986b5a5e68e52acfb8310f198f546570)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (986b5a5e68e52acfb8310f198f546570)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (986b5a5e68e52acfb8310f198f546570)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (986b5a5e68e52acfb8310f198f546570)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 16:02:797 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:479 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:611 INFO  HomePage :53 - Clicking accept cookies: [[ChromeDriver: chrome on windows (c0020be4895b6979a471ccf435e3ee35)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:658 INFO  HomePage :67 - Verifying Virgin Games Logo : [[ChromeDriver: chrome on windows (c0020be4895b6979a471ccf435e3ee35)] -> xpath: //img[@alt='Virgin Games']]
